id,the_snippet,the_headline,the_date,the_news_desk
1421,A growing number of New York neighborhoods have thwarted or stalled redevelopment efforts — and more fights are brewing.,The People vs. Big Development,2020-02-07T10:01:48+0000,RealEstate
1422,"Two of his accusers had sex with him after their alleged assaults. As the jurors begin to debate, they will be in largely uncharted legal territory.",This Is the Toughest Question Facing Harvey Weinstein’s Jury,2020-02-07T10:00:06+0000,Investigative
1423,"Chris Malloy runs a small events business in New Hampshire. The week before the state’s primary election, he has handled almost every campaign event.","The Man Who Makes the Primary Happen (the Lights, Anyway)",2020-02-09T17:11:43+0000,Politics
1424,"In this week’s column, Sarah Firshein investigates those pesky resort fees — and ways to perhaps get out of them.",Help! How Do I Get Out of Resort Fees?,2020-02-08T10:00:10+0000,Travel
1425,"The podcaster Lauren Chooljian has irked some people in the state with “Stranglehold,” a close look at an all-important contest.",‘Losing Friends’ Over How She Covers the New Hampshire Primary,2020-02-09T20:49:21+0000,Business
1426,His removal is petty and vindictive. It’s also part of a bigger plan.,Col. Vindman and the Trumpification of the National Security Council,2020-02-07T22:16:43+0000,OpEd
1427,"A ride downtown, waking up from a dream and more reader tales of New York City in this week’s Metropolitan Diary.","‘When She Leaned Onto Me a Third Time, I Gave Her My Shoulder’",2020-02-09T08:00:06+0000,Metropolitan
1428,"In a wide-ranging career, he appeared onstage, on TV and in films and was the voice of Mark Twain for a Ken Burns film and of an “Outer Limits” reboot.","Kevin Conway, ‘Elephant Man’ Actor Known for Intensity, Dies at 77",2020-02-07T23:48:04+0000,Obits
1429,17 African countries declared independence in 1960. Archival photographs capture the mood of the period 60 years later.,Finding an Aesthetic in the ‘Year of Africa’,2020-02-08T10:00:09+0000,Weekend
1430,Dig into the Spirit Awards instead.,Disappointed by the Oscars? You Are Not Alone,2020-02-07T10:00:23+0000,OpEd
1431,"Separated by less than 50 miles, Oregon and Oregon State have vastly different weapons in their chase for a Final Four. And with the Ducks star Sabrina Ionescu at the forefront, the fans have responded.",The Best College Basketball Rivalry Right Now Is in Oregon,2020-02-07T10:00:44+0000,Sports
1432,The Italian nationalist is facing a potential trial on accusations of abduction for blocking rescued migrants when he was interior minister. And he can’t believe his luck.,Why Matteo Salvini Wouldn’t Mind Being Prosecuted,2020-02-07T11:34:23+0000,Foreign
1433,,This Week in Business: Coronavirus Could Complicate Everything,2020-02-09T12:00:06+0000,SundayBusiness
1434,Didier Gailhaguet stepped down after allegations of rape and sexual harassment against underage figure skaters by their coaches while he was in charge of the federation.,French Ice Sports Chief Resigns Amid Sexual Abuse Scandal,2020-02-08T15:58:15+0000,Foreign
1435,"Ali Slagle’s take, with chicken and peanuts, can be done in 30 minutes, from start to finish.",The Fastest Sesame Noodles,2020-02-07T17:30:01+0000,Dining
1436,An investigation into the Confederation of African Football uncovered information suggesting that tens of millions of dollars had been misappropriated.,Audit Finds Suspicious Financial Dealings in African Soccer,2020-02-08T15:49:35+0000,Sports
1437,Jessica Lessin’s online tech publication costs $399 a year and has no ads. Silicon Valley’s elite is eating it up.,Maybe Information Actually Doesn’t Want to Be Free,2020-02-07T19:19:20+0000,SundayBusiness
1438,"Friday: Remembering Delilah L. Beasley, an Oakland Tribune columnist who documented black pioneers in California. Also: The presidential candidates hit the Inland Empire.",The Pioneering Black Historian Who Was Almost Erased From History,2020-02-07T14:19:46+0000,National
1439,Sam Ratelle is the man who put Billy Porter in a ball gown. Will he top himself at the Oscars on Sunday?,Billy Porter’s Stylist Flips Fashion on Its Head,2020-02-07T16:32:12+0000,Styles
1440,"Of a record 2,300 entries, we selected nine winners, eight runners-up and 18 honorable mentions. Read the winning essays here.",The Winners of Our Fifth Annual Review Contest for High Schoolers,2020-02-09T23:29:03+0000,Learning
1441,"The ritual of watching Hollywood awards show coverage helps keep my mom’s voice from fading, if only through the texts I imagine her sending.","Mourning My Mom, One Red Carpet at a Time",2020-02-07T10:00:10+0000,Well
1442,His removal is petty and vindictive. It’s also part of a bigger plan.,Col. Vindman and the Trumpification of the National Security Council,2020-02-07T22:16:43+0000,OpEd
1443,"This week, Leslie Jamison reviews Jenny Offill’s new novel, “Weather.” In 2014, Roxane Gay wrote for the Book Review about “Dept. of Speculation,” Offill’s novel about a fractured marriage between a writer and a radio broadcaster.",Revisiting Marriage and ‘Dept. of Speculation’,2020-02-07T14:53:13+0000,BookReview
1444,Mary Lou Guizzo and Erik Agard gather us here today.,Ring Bearers,2020-02-07T03:00:05+0000,Games
1445,The attorney general suggested that one way of opposing the Chinese tech giant Huawei would be for the U.S. to invest in a European rival.,Really? Is the White House Proposing to Buy Ericsson or Nokia?,2020-02-07T11:43:48+0000,Business
1446,"The statement came about a week after initial reports that the United States believed it had killed Qassim al-Rimi, the Qaeda leader in Yemen.",White House Confirms Killing of Terrorist Leader in Yemen,2020-02-07T00:19:45+0000,Washington
1447,This word has appeared in 19 articles on NYTimes.com in the past year.,Word + Quiz: inducement,2020-02-07T07:00:02+0000,Learning
1448,"Resources are already stretched during flu season. With so much medical equipment and drugs made in China, public health experts are anxiously watching the global supply chain.","Inundated With Flu Patients, U.S. Hospitals Brace for Coronavirus",2020-02-07T23:51:06+0000,Science
1449,"Germans took to the streets in protest this week when the far right and Chancellor Merkel’s conservatives voted together in a local power struggle. To some, it was like “the Third Reich has been resurrected.”",Germans Unnerved by Political Turmoil That Echoes Nazi Era,2020-02-07T20:48:04+0000,Foreign
1450,"At two events during Oscar week, these stars spoke candidly about an awards season that sometimes excludes them.","Whether Oscar-Nominated or Not, Black Actresses Will Throw Their Own Party",2020-02-08T01:43:07+0000,Culture
1451,The death of a Chinese doctor who was silenced by the police for being one of the first to warn about the coronavirus set off an outpouring of grief and anger on social media. The New York Times interviewed him last week.,He Warned of Coronavirus. Here’s What He Told Us Before He Died.,2020-02-07T20:26:46+0000,Foreign
1452,"Mr. Buttigieg has picked up the most pledged delegates so far, but it’s early in the race: 1,990 pledged delegates are needed to secure the Democratic presidential nomination.","Buttigieg Leads Sanders in Iowa Delegates, 13-12. So, Who Won?",2020-02-07T17:50:50+0000,Politics
1453,The 15th Amendment had a major flaw.,Why Voting Discrimination Haunts America,2020-02-08T04:28:40+0000,Editorial
1454,"With the movie “Birds of Prey” in theaters, we offer a character explainer.","Who Are the Birds of Prey, Exactly? A Guide to Harley Quinn’s Team",2020-02-07T16:34:36+0000,Culture
1455,"Errors in the results have led The Times and others to refrain from calling the race, and the Sanders campaign manager said a partial recanvass of precincts could change the outcome.",Iowa Democrats Give Buttigieg the Most Delegates as Sanders Team Seeks Recanvass,2020-02-09T19:39:45+0000,Politics
1456,How one room in a centuries-old palace found its way onto the red carpet.,Billy Porter’s Oscars Look Has Ties to Kensington Palace,2020-02-09T22:23:47+0000,Styles
1457,"Of a record 2,300 entries, we selected nine winners, eight runners-up and 18 honorable mentions. Read the winning essays here.",The Winners of Our Fifth Annual Review Contest for High Schoolers,2020-02-09T23:29:03+0000,Learning
1458,"In Christopher Paul Curtis’s books, the historical black experience came to life: the joy, the humor and the triumphs, not just the pain. Others have followed his lead.","I Dreaded Black History Month, Until a Novelist Opened My Eyes",2020-02-07T15:02:03+0000,BookReview
1459,"Some tour operators, travel insurance brokers and even airline employees say they are facing growing numbers of customers who want to avoid the region.",Coronavirus Disrupts Travel Plans Across Asia,2020-02-07T21:27:10+0000,Travel
1460,The couple met during their residency in 2017 at the Massachusetts General Hospital.,"Katie Maurer, Daniel Okin",2020-02-09T05:15:00+0000,Society
1461,"Duplantis of Louisiana is the world’s best pole-vaulter, but he will represent Sweden instead of the United States at the Olympics.",Armand Duplantis Breaks the Pole Vault World Record,2020-02-09T00:40:41+0000,Sports
1462,The Italian nationalist is facing a potential trial on accusations of abduction for blocking rescued migrants when he was interior minister. And he can’t believe his luck.,Why Matteo Salvini Wouldn’t Mind Being Prosecuted,2020-02-07T11:34:23+0000,Foreign
1463,Congressional hearings are urgently needed to address location tracking.,The Government Uses ‘Near Perfect Surveillance’ Data on Americans,2020-02-08T00:24:47+0000,Editorial
1464,Didier Gailhaguet stepped down after allegations of rape and sexual harassment against underage figure skaters by their coaches while he was in charge of the federation.,French Ice Sports Chief Resigns Amid Sexual Abuse Scandal,2020-02-08T15:58:15+0000,Foreign
1465,Dig into the Spirit Awards instead.,Disappointed by the Oscars? You Are Not Alone,2020-02-07T10:00:23+0000,OpEd
1466,"Separated by less than 50 miles, Oregon and Oregon State have vastly different weapons in their chase for a Final Four. And with the Ducks star Sabrina Ionescu at the forefront, the fans have responded.",The Best College Basketball Rivalry Right Now Is in Oregon,2020-02-07T10:00:44+0000,Sports
1467,"Ali Slagle’s take, with chicken and peanuts, can be done in 30 minutes, from start to finish.",The Fastest Sesame Noodles,2020-02-07T17:30:01+0000,Dining
1468,"Six American service members were wounded, a spokesman for the U.S. military said. He said a person in an Afghan uniform appeared to have opened fire.",Two American Soldiers Killed in Shootout With Afghan Forces,2020-02-08T20:21:05+0000,Foreign
1469,Jessica Lessin’s online tech publication costs $399 a year and has no ads. Silicon Valley’s elite is eating it up.,Maybe Information Actually Doesn’t Want to Be Free,2020-02-07T19:19:20+0000,SundayBusiness
1470,An investigation into the Confederation of African Football uncovered information suggesting that tens of millions of dollars had been misappropriated.,Audit Finds Suspicious Financial Dealings in African Soccer,2020-02-08T15:49:35+0000,Sports
1471,17 African countries declared independence in 1960. Archival photographs capture the mood of the period 60 years later.,Finding an Aesthetic in the ‘Year of Africa’,2020-02-08T10:00:09+0000,Weekend
