,the_snippet,the_headline,the_date,the_news_desk
4229,"On the Real Estate desk, hidden surprises, nosy neighbors and never-ending property visits are all in a day’s work.",What’s Behind Door No. 2? Life as a Real Estate Reporter,2018-01-21T16:46:31+0000,Insider
4230,"Gov. Andrew M. Cuomo reached a deal with the Interior Department to reopen the statue, paying its operating costs from the state tourism budget.",Statue of Liberty Will Reopen Despite Government Shutdown,2018-01-21T19:54:33+0000,Metro
4231,"On the Real Estate desk, hidden surprises, nosy neighbors and never-ending property visits are all in a day’s work.",What’s Behind Door No. 2? Life as a Real Estate Reporter,2018-01-21T16:46:31+0000,Insider
4232,The carrier will require more preflight documentation as a surge in animals used to aid disabled travelers and offer emotional support has raised safety concerns.,Delta Air Lines Tightens Rules for Service and Support Animals,2018-01-19T23:39:35+0000,Business
4233,"Immigration policy, the issue that propelled President Trump’s political rise, snarled negotiations to avert a government shutdown.","After Vowing to Fix Washington, Trump Is Mired in a Familiar Crisis",2018-01-20T12:48:23+0000,Washington
4234,"Sir David Attenborough returns to host “Blue Planet II,” and average citizens are thrust into an international incident in “False Flag.”",What’s on TV Saturday: ‘Blue Planet II’ and ‘False Flag’,2018-01-20T14:03:28+0000,Culture
4235,"A report claims that a warrant to eavesdrop on Carter Page, a former Trump campaign aide, was improperly obtained.",Republicans Claim Surveillance Power Abuses in Russia Inquiry,2018-01-20T01:16:38+0000,Washington
4236,The Trudeau government has linked federal funding of a youth employment program to support for abortion rights.,Linking Youth Funding to Abortion Rights Spawns Backlash in Canada and Beyond,2018-01-20T00:11:48+0000,Foreign
4237,The fall 2018 men’s collection.,Ann Demeulemeester: Fall 2018,2018-01-19T14:51:01+0000,Fashion & Style
4238,The border wall was one of President Trump's favorite topics on the campaign trail.,Trump Talks About the Wall During the Campaign,2018-01-19T00:42:24+0000,U.S. / Politics
4239,Democrats blocked a spending bill in the Senate on Friday night.,How Every Senator Voted on the Government Shutdown,2018-01-20T01:23:28+0000,U.S.
4240,The fall 2018 men’s collection.,Sacai: Fall 2018,2018-01-20T12:30:56+0000,Fashion & Style
4241,The fall 2018 men’s collection.,Balmain Homme: Fall 2018,2018-01-20T19:47:21+0000,Fashion & Style
4242,"President Trump delivers a speech in Abingdon, Va.","'Every Time They Fight Me, It Gets 10 Feet Taller'",2018-01-19T01:04:06+0000,U.S. / Politics
4243,Here’s what you need to know about the week’s top stories.,"Trump, Syria, Women’s March: Your Weekend Briefing",2018-01-21T11:03:10+0000,NYTNow
4244,"William C. Rempel discusses “The Gambler,” his biography of Kerkorian, who dropped out of eighth grade and ended up on the Forbes list of billionaires.",Tell Us 5 Things About Your Book: The Rags-to-Riches Life of Kirk Kerkorian,2018-01-21T17:00:15+0000,Culture
4245,The couple met in 2012 at the Hyde Nightclub at the Bellagio Hotel in Las Vegas.,"Julie Herrin, Emil Michael",2018-01-21T05:10:01+0000,Society
4246,"Even with accelerated asylum processing, France cannot keep up with the constant stream of new arrivals, leaving hundreds of migrants to sleep rough.","On Paris’s Icy Streets, Migrants Wait for Word on Refuge",2018-01-21T07:59:38+0000,Foreign
4247,"The bride is a clinical psychologist, the groom the communications director for Oklahoma Congressman Frank D. Lucas.","Jaclyn Lopez, Andrew Witmer",2018-01-21T05:00:01+0000,Society
4248,A proposed entry fee of $11.52 for cars would reduce traffic and raise money for the city’s failing subway system but would also add up for many drivers.,Congestion Plan for Manhattan Gets Mixed Reviews,2018-01-19T16:29:31+0000,Metro
4249,"For someone who once described himself as “very pro-choice,” Mr. Trump’s transformation into a champion of the anti-abortion cause is a remarkable political evolution.",Trump Tells Anti-Abortion Marchers ‘We Are With You All the Way’ and Shows It,2018-01-20T01:27:51+0000,National
4250,She won an Oscar for “Written on the Wind” but found her greatest fame on the small screen.,Dorothy Malone Dies at 93; Star of TV’s ‘Peyton Place’,2018-01-20T00:35:51+0000,Obits
4251,New York City's subway ridership is falling. What could the M.T.A. do to find more commuters upon whom to inflict its suffering?,The M.T.A. Needs Riders!,2018-01-20T01:10:24+0000,OpEd
4252,Too many cities are infested with criminal gangs. And too many gangs finance their activities by sexually exploiting minors.,Getting Tough on Sex Traffickers,2018-01-20T00:26:27+0000,OpEd
4253,"See ya, soy! Au revoir, almond! Baristas are pouring a Swedish import that has quietly taken over the nation’s coffee scene.",The Humble Ascent of Oat Milk,2018-01-19T17:15:04+0000,Styles
4254,State licensing boards appear to be more willing than in the past to find that felons have been rehabilitated and should be eligible to practice law.,"Are Felons Fit to Be Lawyers? Increasingly, the Answer Is Yes",2018-01-19T18:30:43+0000,SundayBusiness
4255,Now Republicans are threatening to blow up children’s health care.,The G.O.P.’s Doomsday-Machine Politics,2018-01-19T00:05:35+0000,OpEd
4256,"A city official has sued the city, claiming that a subordinate was given a raise as a “reward” for protecting Mayor Bill de Blasio when he was under federal investigation.",Official Sues City Claiming Retaliation Tied to Inquiry of Mayor,2018-01-19T00:20:41+0000,Metro
4257,Jane Fonda and Lily Tomlin return for another season of “Grace and Frankie.” And Nicolas Cage goes crazy in “Mom and Dad.”,What’s on TV Friday: ‘Grace and Frankie’ and a Tribute to Lorraine Hansberry,2018-01-19T06:00:22+0000,Weekend
4258,Movies misuse music all the time. The Taraji P. Henson vehicle “Proud Mary” misuses it hilariously.,‘Proud Mary’ Has a ‘Proud Mary’ Problem,2018-01-19T10:00:21+0000,Culture
4259,Two professors aid an undocumented worker following an accident that launches a trio of narratives about life lived across America’s borders in “In the Midst of Winter.”,"From Isabel Allende, a Novel of Three Immigrants and a Brooklyn Misadventure",2018-01-19T10:00:21+0000,BookReview
4260,Is social isolation a significant enough issue that the government should intervene?,Does Every Country Need a ‘Loneliness Minister’?,2018-01-19T10:00:02+0000,Learning
4261,The French writer Annie Ernaux uses “The Years” to anchor her particular 20th-century memories within the daunting flux of 21st-century society.,Reclaiming the Past in the Internet’s ‘Infinite Present’,2018-01-19T10:00:12+0000,BookReview
4262,Movies misuse music all the time. The Taraji P. Henson vehicle “Proud Mary” misuses it hilariously.,‘Proud Mary’ Has a ‘Proud Mary’ Problem,2018-01-19T10:00:21+0000,Culture
4263,A proposed entry fee of $11.52 for cars would reduce traffic and raise money for the city’s failing subway system but would also add up for many drivers.,Congestion Plan for Manhattan Gets Mixed Reviews,2018-01-19T16:29:31+0000,Metro
4264,State licensing boards appear to be more willing than in the past to find that felons have been rehabilitated and should be eligible to practice law.,"Are Felons Fit to Be Lawyers? Increasingly, the Answer Is Yes",2018-01-19T18:30:43+0000,SundayBusiness
4265,"See ya, soy! Au revoir, almond! Baristas are pouring a Swedish import that has quietly taken over the nation’s coffee scene.",The Humble Ascent of Oat Milk,2018-01-19T17:15:04+0000,Styles
4266,"Representative Patrick Meehan, a Republican member of the House Ethics Committee, used taxpayer money to pay a former aide who had seen him as a father figure before he made unwanted advances.",Congressman Combating Harassment Settled His Own Misconduct Case,2018-01-20T18:47:44+0000,Washington
4267,Readers discuss an opinion writer’s argument that racism is pervasive and widely denied.,Confronting Racism in America,2018-01-20T19:25:01+0000,Letters
4268,Raising my son is making me want to be a better person.,What I’ve Learned from My 4-Year-Old,2018-01-20T19:30:02+0000,OpEd
4269,"In shattering comforting fictions about how things work in America, he’s made us face our country’s lack of decency and shame. Finally.",The Political Mythbuster in Chief,2018-01-20T19:30:22+0000,OpEd
4270,Can you design Olympic logos for Russia and the two Koreas?,Calling All Designers: Make Olympic Logos for Russia and the Two Koreas,2018-01-19T22:24:57+0000,Sports
4271,An impassioned speech by Fianna Fail’s Micheal Martin takes Ireland a step closer to relaxing its blanket prohibition on abortion.,Conservative Irish Leader Supports Easing of Abortion Ban,2018-01-19T19:43:01+0000,Foreign
4272,"Friday: A local and global rally, your weekend lineup, and a story told in sand.",New York Today: The Women’s March Returns,2018-01-19T11:00:26+0000,Metro
4273,"Daniel Mallory submitted “The Woman in the Window,” a psychological thriller, under a pseudonym. His own publishing house bought it.",Your Book Editor Just Snagged Your Spot on the Best-Seller List,2018-01-19T20:30:27+0000,Culture
4274,"Maybe it’s time for a big pot of galbijjim, or, failing that, a spicy-sweet Peruvian pork stew.",What to Cook This Weekend,2018-01-19T15:25:02+0000,Dining
4275,Baltimore’s crime problem has a host of seemingly intractable causes. Will an insider be able to fix what an outsider could not?,"Baltimore Fires Another Police Commissioner, After Record High Murder Rate",2018-01-19T15:27:20+0000,National
4276,Our guide to art shows and museum events.,Art and Museums in NYC This Week,2018-01-19T15:28:39+0000,Weekend
4277,A graphic reminder of the greatest secret to success as an author.,A Writer’s State of Mind,2018-01-19T15:52:37+0000,BookReview
4278,Women will follow Clinton’s lead right into the White House.,"Hillary Lost, but the Future Is Hers",2018-01-20T19:53:09+0000,OpEd
4279,"Representative Patrick Meehan, a Republican member of the House Ethics Committee, used taxpayer money to pay a former aide who had seen him as a father figure before he made unwanted advances.",Congressman Combating Harassment Settled His Own Misconduct Case,2018-01-20T18:47:44+0000,Washington
4280,Readers discuss an opinion writer’s argument that racism is pervasive and widely denied.,Confronting Racism in America,2018-01-20T19:25:01+0000,Letters
4281,Raising my son is making me want to be a better person.,What I’ve Learned from My 4-Year-Old,2018-01-20T19:30:02+0000,OpEd
4282,"In shattering comforting fictions about how things work in America, he’s made us face our country’s lack of decency and shame. Finally.",The Political Mythbuster in Chief,2018-01-20T19:30:22+0000,OpEd
4283,Victor Barocas and Andy Kravis swap ideas.,Substitutes,2018-01-20T23:00:01+0000,Games
4284,Ten of thousands of protesters rallied in Bucharest on Saturday to protest proposed revisions to the country’s corruption laws.,Anti-Corruption Protest Draws Tens of Thousands Across Snowy Romania,2018-01-20T22:50:49+0000,Foreign
4285,Was my father’s leftover stuff the key to who he really was?,My Dead Dad’s Porno Tapes,2018-01-19T20:19:14+0000,OpEd
